ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-10-09,13.559758023018176,12.044348129793054,15.20016515063252,11.930429480213672,15.091175763556395,-0.00023742303999411678,-0.00023742303999411678,-0.00023742303999411678,0.008347744442884351,0.008347744442884351,0.008347744442884351,0.002418274799996881,0.002418274799996881,0.002418274799996881,0.00616689268288159,0.00616689268288159,0.00616689268288159,0.0,0.0,0.0,867136.2701090729
2025-10-10,13.556018130629765,11.996932499608324,15.247150560660344,11.916892679615577,15.0940748090533,-4.2128773915879665e-05,-4.2128773915879665e-05,-4.2128773915879665e-05,0.008412667645210394,0.008412667645210394,0.008412667645210394,0.002137229907577921,0.002137229907577921,0.002137229907577921,0.006317566511548354,0.006317566511548354,0.006317566511548354,0.0,0.0,0.0,864632.9890442139
2025-10-11,13.552278238241351,11.907595696526242,15.127270239598037,11.903370838433844,15.103186533855268,-6.737658793781313e-05,-6.737658793781313e-05,-6.737658793781313e-05,0.00029095604027029847,0.00029095604027029847,0.00029095604027029847,-0.006085218211006103,-0.006085218211006103,-0.006085218211006103,0.006443550839214214,0.006443550839214214,0.006443550839214214,0.0,0.0,0.0,771599.842161892
2025-10-12,13.548538345852938,11.88921935690785,15.121832846513998,11.888486586391744,15.113460375571968,-0.0004650237182735092,-0.0004650237182735092,-0.0004650237182735092,9.69928453479206e-05,9.69928453479206e-05,9.69928453479206e-05,-0.005981934409564969,-0.005981934409564969,-0.005981934409564969,0.006543950973186398,0.006543950973186398,0.006543950973186398,0.0,0.0,0.0,766701.2172065418
2025-10-13,13.544798453464525,11.945817394680013,15.259650152470403,11.872535997739549,15.123771412435195,-0.0008916457719992109,-0.0008916457719992109,-0.0008916457719992109,0.007752395842385341,0.007752395842385341,0.007752395842385341,0.002025862397230618,0.002025862397230618,0.002025862397230618,0.006618179217153934,0.006618179217153934,0.006618179217153934,0.0,0.0,0.0,847294.0608668508
2025-10-14,13.541058561076113,11.958740309098248,15.269163823835601,11.856499263486144,15.13524178821626,-0.0008427379666155443,-0.0008427379666155443,-0.0008427379666155443,0.008567392231173476,0.008567392231173476,0.008567392231173476,0.0027441690624988553,0.0027441690624988553,0.0027441690624988553,0.006665961135290165,0.006665961135290165,0.006665961135290165,0.0,0.0,0.0,853473.7977623136
2025-10-15,13.537318668687698,11.934951916684945,15.297109155611416,11.840672657512098,15.147734547486788,-0.0002458529332888886,-0.0002458529332888886,-0.0002458529332888886,0.009183098898701685,0.009183098898701685,0.009183098898701685,0.002741616453236289,0.002741616453236289,0.002741616453236289,0.006687335378754285,0.006687335378754285,0.006687335378754285,0.0,0.0,0.0,857377.169199111
2025-10-16,13.533578776299288,11.91955217148952,15.329086232013784,11.824086968230443,15.160227306757323,0.00040325664962611966,0.00040325664962611966,0.00040325664962611966,0.009504178575967843,0.009504178575967843,0.009504178575967843,0.0024182747999986496,0.0024182747999986496,0.0024182747999986496,0.006682647126343074,0.006682647126343074,0.006682647126343074,0.0,0.0,0.0,857866.9750889355
2025-10-17,13.529838883910873,11.909254115956763,15.33047379738562,11.805855675096403,15.171872853314158,0.000558210201619732,0.000558210201619732,0.000558210201619732,0.009347975452981237,0.009347975452981237,0.009347975452981237,0.0021372299075966368,0.0021372299075966368,0.0021372299075966368,0.006652535343764868,0.006652535343764868,0.006652535343764868,0.0,0.0,0.0,852829.9792498692
2025-10-18,13.526098991522462,11.780039194686564,15.20141470144147,11.788624733713128,15.18234728242615,0.00019749847482460888,0.00019749847482460888,0.00019749847482460888,0.0007101944768055519,0.0007101944768055519,0.0007101944768055519,-0.006085218211002095,-0.006085218211002095,-0.006085218211002095,0.00659791421298304,0.00659791421298304,0.00659791421298304,0.0,0.0,0.0,755930.8270157267
